timestamp,transaction_type,token,amount
1571967208,DEPOSIT,BTC,0.29866
1571967200,DEPOSIT,ETH,1
1571967189,WITHDRAWAL,ETH,2
1571967150,DEPOSIT,XRP,0.693272
1571967110,DEPOSIT,ETH,1
1571967067,WITHDRAWAL,XRP,0.393786
1571966982,WITHDRAWAL,ETH,1
1571966896,WITHDRAWAL,XRP,0.81984
1571966868,WITHDRAWAL,XRP,0.969999
1571966849,WITHDRAWAL,XRP,0.650535
1571966763,DEPOSIT,XRP,0.588537
1571966749,DEPOSIT,XRP,0.109955
1571966685,DEPOSIT,BTC,0.658794
1571966641,DEPOSIT,ETH,2
1571966568,DEPOSIT,BTC,0.630386
1571966566,DEPOSIT,BTC,0.985879
1571966499,DEPOSIT,BTC,0.162165
